pncit1.bblid,pncit1.scanid
100050,8309
100300,6985
100873,7534
101221,7056
101598,7044
102496,6984
103029,7611
103537,8313
104068,7426
104084,7947
104153,8166
104232,7523
104235,7085
104563,7007
104590,7184
104816,7621
104930,7412
105176,8158
105244,7854
105309,8243
105634,7507
105860,7503
106057,7955
106071,7265
106246,7502
106573,7506
106800,7554
106808,7952
106982,7825
107055,7434
107253,7703
107394,8138
107628,8110
107694,8003
107867,8278
108286,7097
108701,7071
108972,8283
109233,7368
109521,8314
109577,8140
109642,7549
109725,7016
109735,7546
109757,8272
110166,7525
110689,8212
110727,7413
111818,7499
112126,7032
112332,7089
112391,7606
112633,7573
112715,8273
112792,7544
112799,7875
112824,7633
113054,8135
113070,8190
113111,7031
114935,7452
115571,8276
115800,7149
116034,7552
116051,8320
116147,7063
116210,8082
116244,7901
116397,8177
116812,7087
116817,7088
117256,7954
117397,7423
117466,7872
117595,7904
117847,7140
118057,7167
118162,7440
118513,7058
118546,7369
118615,7267
118807,8351
119302,7999
119317,7882
119527,7335
120052,7639
120217,7996
120403,7504
120514,7656
120684,8247
120808,7422
120902,6989
121000,7776
121001,8084
121042,7638
121050,7704
121085,7602
121458,7795
121518,7425
121587,8231
122091,7283
122277,7860
122433,7375
122508,8175
122732,8165
122910,6965
122913,7022
122916,8096
124926,7798
125220,7789
125250,7635
125454,7839
125493,7736
125506,8303
125508,7512
125535,7484
125554,7750
126293,7146
126389,7179
126395,8106
126852,7019
127008,8191
127011,7609
127128,7441
127236,7165
127417,7921
127542,7751
129839,8239
129886,8213
129965,7688
130106,8101
130154,7868
130211,7690
130861,7823
130881,7833
130896,7659
131220,7902
131224,8167
131543,7660
131561,8256
131622,7824
131657,7662
131747,8108
131798,7707
131810,8452
132083,7692
132097,8162
132224,7648
132641,8237
132657,7723
133007,7622
80373,7390
80557,7141
80854,7177
81222,6991
81353,7053
81725,6726
81865,8189
81876,7897
81903,7482
81939,8206
81992,8153
82066,8117
82096,7057
82124,7186
82232,7116
82311,7282
82458,6990
82709,8220
82877,7138
83044,6603
83253,8202
83328,7080
83358,6678
83423,8245
83832,6747
83835,8151
83987,7043
84136,8448
84258,7578
84385,8097
84761,8209
84970,7558
85005,8223
85063,7522
85369,8137
85397,7880
85400,7724
85412,7147
85715,7755
85876,7015
86061,7623
86126,7072
86212,6767
86350,7624
86444,7284
86486,8023
86517,8250
86820,7169
86880,6827
86946,7081
86974,8204
87122,7695
87135,6968
87166,8008
87195,6630
87277,7215
87601,6917
87679,7655
87804,6988
87905,6966
88075,7172
88181,7881
88209,7910
88229,7095
88241,6821
88283,7435
88402,6727
88425,7082
88486,7174
88505,7864
88547,6732
88589,7176
88621,6760
89044,6709
89567,7951
89627,7427
89653,7062
89731,8116
89786,7371
90021,7500
90077,7173
90113,7139
90241,6823
90281,7040
90428,6793
90613,6864
90683,6676
90736,8286
91025,8181
91152,7417
91187,7408
91335,6845
91364,6997
91460,7210
91466,6730
91726,6874
91855,8201
92193,8326
92403,7871
92848,6953
92881,7775
92896,8222
92927,6872
92970,6838
93020,7037
93309,7439
93330,6960
93341,6847
93686,7404
93723,7574
93771,6877
93867,6952
93948,6902
93949,7377
94113,7264
94276,7168
94357,7443
95057,7266
95116,7005
95378,7083
95939,6961
96149,7874
96213,8000
96420,7725
96659,7601
97456,7820
97600,8274
97857,7545
97994,6954
98319,7696
98345,7483
98532,7402
98535,7498
98831,7946
98871,7840
98897,8159
98902,6963
98975,7433
99268,7374
99518,6964
99604,8249
99838,7862
